# omega0=2, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.10, t_end=100.00, h=0.01
#   t          x(t)                 v(t)       
4.087406060325513e+00 -3.891051306734432e-01 1.214214370333556e+00
4.208236547002040e+00 -2.380629428880514e-01 1.273089520729936e+00
4.329067033678566e+00 -8.459104015298687e-02 1.254156280278906e+00
4.449897520355092e+00 6.193304614614236e-02 1.158841289030836e+00
4.570728007031619e+00 1.926703774504753e-01 9.945361125961084e-01
4.691558493708145e+00 2.999828810245455e-01 7.734559063239898e-01
4.812388980384672e+00 3.779090899222962e-01 5.108179317803484e-01
4.933219467061198e+00 4.224172532593546e-01 2.230940929236721e-01
5.054049953737724e+00 4.314795143523535e-01 -7.315443414724124e-02
5.174880440414251e+00 4.050458320013683e-01 -3.617966826448454e-01
5.295710927090777e+00 3.449801823065741e-01 -6.273063388451383e-01
5.416541413767304e+00 2.549741767029114e-01 -8.550334402159102e-01
5.537371900443830e+00 1.404035528265427e-01 -1.031915570574534e+00
5.658202387120356e+00 8.067780263015864e-03 -1.147678905215436e+00
5.779032873796883e+00 -1.342307857356108e-01 -1.196212548176795e+00
5.899863360473409e+00 -2.782562648141344e-01 -1.176552171362438e+00
6.020693847149936e+00 -4.159769766697826e-01 -1.092967527117481e+00
6.141524333826462e+00 -5.401505917328201e-01 -9.540241430131301e-01
6.262354820502988e+00 -6.447489580883461e-01 -7.709554381311015e-01
6.383185307179515e+00 -7.251743418968507e-01 -5.559411846769285e-01
6.504015793856041e+00 -7.782897905292165e-01 -3.208202459960928e-01
6.624846280532568e+00 -8.023341806753044e-01 -7.648296560769516e-02
6.745676767209094e+00 -7.968034292778755e-01 1.671102513790549e-01
6.866507253885620e+00 -7.623599715993361e-01 4.005297327268050e-01
6.987337740562147e+00 -7.007975705991124e-01 6.144135521747314e-01
7.108168227238673e+00 -6.150504469351290e-01 7.992424822342401e-01
7.228998713915200e+00 -5.092034414826422e-01 9.455748505682793e-01
7.349829200591726e+00 -3.884412942253052e-01 1.044815878344012e+00
7.470659687268252e+00 -2.588782661862857e-01 1.090387679320423e+00
7.591490173944779e+00 -1.272386325553276e-01 1.078957230991040e+00
7.712320660621305e+00 -4.074961388714771e-04 1.011284159147164e+00
7.833151147297832e+00 1.150800828815833e-01 8.923592637019551e-01
7.953981633974358e+00 2.135198991996800e-01 7.307883985368747e-01
8.074812120650890e+00 2.904110133084127e-01 5.376749238270112e-01
8.195642607327425e+00 3.426826869282210e-01 3.253950646697928e-01
8.316473094003960e+00 3.687840903274374e-01 1.065905549086930e-01
8.437303580680496e+00 3.686728706064686e-01 -1.064952255928007e-01
8.558134067357031e+00 3.437414886051597e-01 -3.024072981751844e-01
8.678964554033566e+00 2.967043458328459e-01 -4.707696744405095e-01
8.799795040710102e+00 2.314470994103132e-01 -6.026422563945694e-01
8.920625527386637e+00 1.528246813384782e-01 -6.910137943014609e-01
9.041456014063172e+00 6.639400686749883e-02 -7.313692712686857e-01
9.162286500739707e+00 -2.191839082266564e-02 -7.221675915931074e-01
9.283116987416243e+00 -1.061915983478912e-01 -6.650471034861553e-01
9.403947474092778e+00 -1.808881689354760e-01 -5.646570668841858e-01
9.524777960769313e+00 -2.411900589251863e-01 -4.281496698254588e-01
9.645608447445849e+00 -2.832598414294086e-01 -2.644817002925064e-01
9.766438934122384e+00 -3.044152975800972e-01 -8.370676263254623e-02
9.887269420798919e+00 -3.032246426166556e-01 1.036179960693926e-01
1.000809990747545e+01 -2.795385965574517e-01 2.868890314698390e-01
1.012893039415199e+01 -2.344723185642856e-01 4.558454233853116e-01
1.024976088082852e+01 -1.703392311749538e-01 6.009925224805804e-01
1.037059136750506e+01 -9.052772290229574e-02 7.141291836604027e-01
1.049142185418160e+01 6.917430298698877e-04 7.889608492167658e-01
1.061225234085813e+01 9.843335038202887e-02 8.216824223502198e-01
1.073308282753467e+01 1.975226458003260e-01 8.113592619080169e-01
1.085391331421120e+01 2.928493965051235e-01 7.599617712866575e-01
1.097474380088774e+01 3.797010653918602e-01 6.720147899076481e-01
1.109557428756427e+01 4.540347273588231e-01 5.539542190763160e-01
1.121640477424081e+01 5.126624369431828e-01 4.133709061926510e-01
1.133723526091734e+01 5.533479704299085e-01 2.583266993826338e-01
1.145806574759388e+01 5.748317053069428e-01 9.686078267136544e-02
1.157889623427041e+01 5.768089634745729e-01 -6.329076074885351e-02
1.169972672094695e+01 5.598847542646727e-01 -2.148195346237675e-01
1.182055720762348e+01 5.255179499643898e-01 -3.509129244955765e-01
1.194138769430002e+01 4.759555292112196e-01 -4.653649233525968e-01
1.206221818097655e+01 4.141473504943208e-01 -5.527939751142714e-01
1.218304866765309e+01 3.436274540376269e-01 -6.089750389633216e-01
1.230387915432962e+01 2.683508084993197e-01 -6.312313255113446e-01
1.242470964100616e+01 1.924839929413387e-01 -6.187864935404045e-01
1.254554012768270e+01 1.201612094819893e-01 -5.729701238032864e-01
1.266637061435923e+01 5.522826532889728e-02 -4.972041068058373e-01
1.278720110103577e+01 1.002251532895943e-03 -3.967605356001083e-01
1.290803158771230e+01 -3.992810557698945e-02 -2.783431536201126e-01
1.302886207438884e+01 -6.584508197589305e-02 -1.495770044121326e-01
1.314969256106537e+01 -7.598150168550648e-02 -1.848554058912943e-02
1.327052304774191e+01 -7.053894426678814e-02 1.069969242698096e-01
1.339135353441844e+01 -5.064997863816589e-02 2.194641894326914e-01
1.351218402109498e+01 -1.829003005209090e-02 3.124341650399591e-01
1.363301450777151e+01 2.385619334582829e-02 3.807040902871534e-01
1.375384499444805e+01 7.256802184688541e-02 4.206487457363964e-01
1.387467548112458e+01 1.242930592191676e-01 4.304273214969937e-01
1.399550596780112e+01 1.753689560404901e-01 4.100614490771438e-01
