#  N   Simpon's     Milne       3/8 
#-----------------------------------------
2.559907e+00  -1.249057e+01  -4.144787e+00  -9.060933e-01
2.564666e+00  -1.250914e+01  -4.149573e+00  -9.074571e-01
2.569374e+00  -1.252827e+01  -4.154306e+00  -9.046549e-01
2.574031e+00  -1.254722e+01  -4.158989e+00  -9.059968e-01
2.578639e+00  -1.256422e+01  -4.163621e+00  -9.073178e-01
2.583199e+00  -1.258396e+01  -4.168205e+00  -9.046059e-01
2.587711e+00  -1.260249e+01  -4.172741e+00  -9.059063e-01
2.592177e+00  -1.262121e+01  -4.177229e+00  -9.071872e-01
2.596597e+00  -1.263746e+01  -4.181672e+00  -9.045598e-01
2.600973e+00  -1.265675e+01  -4.186070e+00  -9.058213e-01
2.605305e+00  -1.266974e+01  -4.190424e+00  -9.070644e-01
2.609594e+00  -1.268720e+01  -4.194735e+00  -9.045164e-01
2.613842e+00  -1.270578e+01  -4.199003e+00  -9.057413e-01
2.618048e+00  -1.272237e+01  -4.203230e+00  -9.069487e-01
2.622214e+00  -1.273961e+01  -4.207415e+00  -9.044756e-01
2.626340e+00  -1.275582e+01  -4.211561e+00  -9.056658e-01
2.630428e+00  -1.277267e+01  -4.215668e+00  -9.068396e-01
2.634477e+00  -1.278831e+01  -4.219737e+00  -9.044370e-01
2.638489e+00  -1.280551e+01  -4.223767e+00  -9.055945e-01
2.642465e+00  -1.282292e+01  -4.227761e+00  -9.067365e-01
2.646404e+00  -1.283318e+01  -4.231718e+00  -9.044005e-01
2.650308e+00  -1.285176e+01  -4.235639e+00  -9.055270e-01
2.654177e+00  -1.286890e+01  -4.239525e+00  -9.066389e-01
2.658011e+00  -1.288557e+01  -4.243377e+00  -9.043659e-01
2.661813e+00  -1.290169e+01  -4.247195e+00  -9.054631e-01
2.665581e+00  -1.291403e+01  -4.250980e+00  -9.065464e-01
2.669317e+00  -1.293322e+01  -4.254732e+00  -9.043331e-01
2.673021e+00  -1.294314e+01  -4.258452e+00  -9.054024e-01
2.676694e+00  -1.295882e+01  -4.262140e+00  -9.064586e-01
2.680336e+00  -1.297077e+01  -4.265797e+00  -9.043019e-01
2.683947e+00  -1.298972e+01  -4.269424e+00  -9.053448e-01
2.687529e+00  -1.299875e+01  -4.273020e+00  -9.063751e-01
2.691081e+00  -1.301582e+01  -4.276588e+00  -9.042723e-01
2.694605e+00  -1.303358e+01  -4.280126e+00  -9.052900e-01
2.698101e+00  -1.304443e+01  -4.283635e+00  -9.062957e-01
