# 3D harmonic oscillator
# eigenvalue = 1.480538e+00

#   r       u(r)
0.000000 0.000000
0.500000 3.037269e-01
1.000000 4.997797e-01
1.500000 5.420830e-01
2.000000 4.599732e-01
2.500000 3.226047e-01
3.000000 1.918465e-01
3.500000 9.799294e-02
4.000000 4.289468e-02
4.500000 1.481431e-02
