0.30103 -0.401448 -0.301609
0.477121 -0.841912 -0.428046
0.60206 -0.940998 -0.442724
0.69897 -1.27154 -0.473243
0.778151 -1.33747 -0.477012
0.845098 -1.61417 -0.487844
0.90309 -1.6558 -0.488955
0.954243 -1.89343 -0.493609
1 -1.91665 -0.493942
1.04139 -2.11936 -0.496201
1.07918 -2.12985 -0.496292
1.11394 -2.29953 -0.497491
1.14613 -2.30272 -0.49751
1.17609 -2.44211 -0.498193
1.20412 -2.44238 -0.498195
1.23045 -2.55549 -0.498609
1.25527 -2.55576 -0.498609
1.27875 -2.64723 -0.498873
1.30103 -2.64902 -0.498878
1.32222 -2.72331 -0.499055
1.34242 -2.72719 -0.499063
1.36173 -2.78813 -0.499186
1.38021 -2.7941 -0.499197
1.39794 -2.84476 -0.499285
1.41497 -2.85254 -0.499298
1.43136 -2.8953 -0.499364
1.44716 -2.90452 -0.499377
1.4624 -2.94116 -0.499427
1.47712 -2.95149 -0.499441
1.49136 -2.98334 -0.49948
1.50515 -2.99445 -0.499494
1.51851 -3.02253 -0.499525
1.53148 -3.03416 -0.499538
1.54407 -3.05922 -0.499564
1.5563 -3.07117 -0.499576
1.5682 -3.09377 -0.499597
1.57978 -3.10588 -0.499608
1.59106 -3.12648 -0.499626
