#  N   Simpon's     Milne     Qags_GSL
#-----------------------------------------
2.652246341003323237828226410784e+00  -1.286218293250337474376010504784e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.656098202012831865914677109686e+00  -1.287686789006201593110745307058e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.659916200069850411580318905180e+00  -1.288674524716839542293200793210e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.663700925389647977681306656450e+00  -1.290352008483345613853998656850e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.667452952889953987636317833676e+00  -1.291906556985647114288440207019e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.671172842715083373121842669207e+00  -1.294114208983130254182469798252e+01  -inf  2.312856185683747511916408257093e+00
2.674861140737811560086356621468e+00  -1.295261596027124539887154242024e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.678518379040113917000098808785e+00  -1.296580897339879712149013357703e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.682145076373831926730417762883e+00  -1.298160324058202874653034086805e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.685741738602263506408007742721e+00  -1.299196169200028450063655327540e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.689308859123620276676547291572e+00  -1.301187992083479194604933582013e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.692846919277230188782823461224e+00  -1.302139039902483474975269928109e+01  -1.491029164554896446759357786505e+01  2.312856185683747511916408257093e+00
2.696356388733332387630525772693e+00  -1.304022232771476375035035744077e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.699837725867245907807046023663e+00  -1.305468596841820172471670957748e+01  -inf  2.312856185683747511916408257093e+00
